CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
1,admin,adminpass,g0t r00t?,User,System,Administrator,0d1e49bbbec6b63a8efe89c11e02648a,2601bc2fd5d24059a09dea1879d6c795a09d8a9d338dad59ba399b46be044510
2,adrian,somepassword,Zombie Films Rock!,User,Adrian,Crenshaw,c31dbbbd17ebdb9c3088765d8e888911,f9e42349db3d40bed846e6adec8fc598191d5d0e4e2991bda9b085e60dcb78c8
3,patches,tortoise,meow,User,Patches,Pester,d25edaa9483675c491760f3560d1e288,0e5b83a57f905c48ffd7fbaf0a3c0b304ae94aa02e86f95a7e426e887230c313
4,jeremy,password,d1373 1337 speak,User,Jeremy,Druin,5e50f883881ea2c31b3e8a0d7e550018,b45a94f52305853bf7c365e15762006ee830ddb11df392027f565c6c843b5d8d
5,bryce,password,I Love SANS,User,Bryce,Galbraith,1ccadccc8707b85e6a193eb5cc5cf30e,f4a5526de1ae25539ba1bfad2edfc80be82b0fb6e17fc9a58f07330e1c4a0c20
6,samurai,samurai,Carving fools,User,Samurai,WTF,3a97d68269a4a777967823208d260c6a,76301d1b3979c72fdea438f35b443ecbee2e855a261ac873f684a294746ecc2f
7,dodgerjim,password,Rome is burning,User,Jim,Rome,bd6018f934254b3a4652e9354769deac,9c52be7a81a4afc7736dd4d3fa23419e40918fb4cf70d30da49fb2a47dcccd3f
8,bobby,password,Hank is my dad,User,Bobby,Hill,407cbf86ae81e35407474f200dbcf3e2,c44efc045c96daac789c7661eb0e5b869b8bacd04cf36b449fd4e34ea81fcdfb
9,simba,password,I am a super-cat,User,Simba,Lion,0b900a70cba0fa67a57ac076198974b4,bff8d8394124b47490683d8daf0fc0bcc5351d524a46b4ba02ae3bd5b4ad8fd8
10,dreveil,password,Preparation H,User,Dr.,Evil,11fd85505503a10d501eb43f527e98bf,2cf5c6d216baee65d849e7ecfd1a9cca0b111918554f3169eca224e0bc8f8572
11,scotty,password,Scotty do,User,Scotty,Evil,63630b1969f5531a8a3d9ff49a327c5b,3f6fd8b7348425539c8d32d9340531c694282c8af07f1960f9c51f18c7fa7da9
12,cal,password,C-A-T-S Cats Cats Cats,User,John,Calipari,d5767e5c5ff8f00af7adbdedd93e4ee3,15bdfa4be8e1b4c67e08608f5aef9f106dc4cc3e20bc424f577890303e6909d7
13,john,password,Do the Duggie!,User,John,Wall,b942d740198574933994051a168fe454,e99ca9584bcc7c30998088ff743a3a980d381f70e3d846eba35f2a8d9fbb951a
14,kevin,42,Doug Adams rocks,User,Kevin,Johnson,d247c1c0918eb3d52e15c402d758ee65,c6551647aee58c2c00a17be600ab75de697e2b772d4b11c17fdd0e5c9cca6420
15,dave,set,Bet on S.E.T. FTW,User,Dave,Kennedy,2ca1cab4f6ae39d501b9c814804845f3,f9cc32ab005757fb9dde3715c295467c6efd6f8e066c6182f583fde37cdd5909
16,rocky,stripes,treats?,User,Rocky,Paws,4a729da2f239cab826b1537c2bf22ea8,0210f8f25d43b1e8b50865887f26884529b3bcc8e1bc1b0c6488d3ab7c98fa09
17,tim,lanmaster53,Because reconnaissance is hard to spell,User,Tim,Tomes,0484dc9c94d715a65c30458c6cf32614,50246e4934b764b1c15f25602fe74b4441d746b090ecd4392d378c3351f49f09
18,ABaker,SoSecret,Muffin tops only,User,Aaron,Baker,b8f96b00a5a7ef737c0d07079533b447,de9005507eeef42a9892426e003644757b521b077bbbafba73c24f766591249e
19,PPan,NotTelling,Where is Tinker?,User,Peter,Pan,3e8620a04197bd5576d0ff18ac966470,1b71a38a06e7b6c0d71ae9b59b09d30210d4371df08afc9dff482a630590c5d5
20,CHook,JollyRoger,Gator-hater,User,Captain,Hook,f3397d3dc80fbcb879190776e373d6fc,f78a31ff23392e562339c51035a3408b7a1ff01a8cda443f52eedb91ae19b0de
21,james,i<3devs,Occupation: Researcher,User,James,Jardine,bacc3691f57a9b9e146218a4497c7bcf,5a82e8cf2f8d28745222a99f97830fb7fe7d6bc79f7834b5f0ac37e59bce4efa
22,ed,pentest,Commandline KungFu anyone?,User,Ed,Skoudis,ad32260a9047d14e30acb7513b4c72e1,b60e6c0e8e5246a8a2659de890341577c315590a49442bb80104dcc2826f3f9e
23,joe,holly,Off by one error,User,Joe,Holly,543b08ca766a91f60abdb2cbe43971a2,eecb52807f0d5dbfbdb3b5edef7ee29e9cf0b1418ae367a262753d403838a997
24,peter,initech123,I dont like my job,User,Peter,Gibbons,10eac7614c8c471d03fef1c262603564,4d8b89bb83fb88835c76c9a77d45b73217b1cadc18afa1c423df1181584b02fd
25,milton,stapler,Wheres my stapler?,User,Milton,Waddams,0cecd2600bdd83e590f050689dd6ee67,e1b7dbc4695060853e52f6ebe31faffe655e8a46ca46098cfdaf89ec68af3178
26,bill,tpsreports,Did you get the memo?,User,Bill,Lumbergh,0c85726ca3606b7c16000a2ad347a5f3,ac6ce762f9d1173f9ffc76292b44bcc41c5b4316ac4a633ece7d5abc51b2d613
27,samir,nojoke123,No one can pronounce my last name,User,Samir,Nagheenanajar,cb656371eeb9073d9ce6e7df0a833beb,35e601b7972a2f8b8e3720d4e254eb06785989c79f00200899ee58bb28833cf3
28,michael_b,michael123,We fixed the glitch,User,Michael,Bolton,06c2b44576bd34e0fa7b4509d5915d53,c375060bb51066573785f6a6743e9d0f0a997f649f7bd006254d0854e97504ff
29,michael_s,worldsbestboss,Worlds Best Boss,User,Michael,Scott,94c8b199e45a064e260d8625e542c494,038ea6669ce9640283c1fce9fc56103bb6a94596009720089bd4d2c1654178a5
30,jim,bearsbeatsbattlestar,Pranking Dwight,User,Jim,Halpert,4d5d83eb71c2905812c009be2de24aeb,68ddc7ab9fe66f24e23d5ba08c3c04af70e865d917c6980bcc825b841e7b1c7b
31,dwight,assistant_to_the_regional_manager,Bears. Beets. Battlestar Galactica.,User,Dwight,Schrute,b2519ab52910f33f2677308487a3a0b1,8696d655e0826679c8ecfd3764ff25de0b825e2cc604ebc46fcd7177e1dccebb
32,pam,pammy123,Dunder Mifflin,User,Pam,Beesly,7a1ead2ecbe49abac561b8eb1a469071,465c60bc786250af85848767a753580187095524711c450b07c9efde1377dc31
33,ryan,temp123,I am the temp,User,Ryan,Howard,643a8fb56c4c2b8941c3e85639bc48d5,5d22554e370c22470638c04f436cdb5e55d1527ea6b3c7af34cd0ffcb13a6104
34,derek,bluestrike,Im pretty sure theres more to life than being really, really ridiculously good looking,User,Derek,Zoolander,ffc8041f9601c416b7ebb83954c51bde,ae84f54fc1073b3d341554bb7a38f459594fb04bb85ea2a6f6cd219dbe5a1d4c
35,hansel,hansel123,Hansel. Hes so hot right now.,User,Hansel,,ff1ec877fc96df00cf199fe5d5ef2a13,a88949b97daa959fd280b413931661f070f3df4eb3113b77e47ea2f5c0efe9c6
36,mugatu,mugatu123,I invented the piano key necktie!,User,Jacobim,Mugatu,53eb83184a0d9c69121180769bf28cea,bba0a558f713192ca5ee0ddca60c2b9fd6fa99d744e0160b5f32e018ddb08c4c
